Server,Level,name,Fully Qualified Name,Ignore,Merged Description,Description,Status,In Use,Business Unit,App Link,Redline DA Access Granted
GSFS-DBSQL-Q01,Primary,master,GSFS-DBSQL-Q01.master,Yes,,,NULL,,,,Yes
GSFS-DBSQL-Q01,Primary,model,GSFS-DBSQL-Q01.model,Yes,,,NULL,,,,Yes
GSFS-DBSQL-Q01,Primary,msdb,GSFS-DBSQL-Q01.msdb,Yes,,,NULL,,,,Yes
GSFS-DBSQL-Q01,Primary,ReportServer,GSFS-DBSQL-Q01.ReportServer,,SCS Reports,,NULL,,,,Yes
GSFS-DBSQL-Q01,Primary,ReportServerTempDB,GSFS-DBSQL-Q01.ReportServerTempDB,,SCS Reports,,NULL,,,,Yes
GSFS-DBSQL-Q01,Primary,scs_auto_document_gsfs,GSFS-DBSQL-Q01.scs_auto_document_gsfs,,SCS Application,SCS sub application database used to store contract scanned images,NULL,,,,Yes
GSFS-DBSQL-Q01,Primary,scs_auto_gsfs,GSFS-DBSQL-Q01.scs_auto_gsfs,,SCS Application,,NULL,,,,Yes
GSFS-DBSQL-Q01,Primary,scs_auto_master,GSFS-DBSQL-Q01.scs_auto_master,,SCS Application,,NULL,,,,Yes
GSFS-DBSQL-Q01,Primary,scs_auto_Temp,GSFS-DBSQL-Q01.scs_auto_Temp,,SCS Application,,NULL,,,,Yes
GSFS-DBSQL-Q01,Primary,scs_stage,GSFS-DBSQL-Q01.scs_stage,,SCS Application,,NULL,,,,Yes
GSFS-DBSQL-Q01,Primary,scs_utility,GSFS-DBSQL-Q01.scs_utility,,SCS Application,,NULL,,,,Yes
GSFS-DBSQL-Q01,Primary,scs_warehouse_gsfs,GSFS-DBSQL-Q01.scs_warehouse_gsfs,,SCS Application,Sofware vendors data warehouse. GSFS does not use this. GSFS Provides their own data warehouse.,NULL,,,,Yes
GSFS-DBSQL-Q01,Primary,scs_warehouse_master,GSFS-DBSQL-Q01.scs_warehouse_master,,SCS Application,Sofware vendors data warehouse. GSFS does not use this. GSFS Provides their own data warehouse.,NULL,,,,Yes
GSFS-DBSQL-Q01,Primary,tempdb,GSFS-DBSQL-Q01.tempdb,Yes,,,NULL,,,,Yes
GSFS-FC-SQL-P03,Secondary,AppSecurity,GSFS-FC-SQL-P03.AppSecurity,,"OMEGA, Incentives,Customer Portal,Executive Dashboard, Reinsurance & All internal applications",,NULL,,,,Yes
